S.No,MET_SUBDIVISION_UT_STATE_DISTRICT_NAME,Winter_Actual,Winter_Percent_Departure,Pre_Monsoon_Actual,Pre_Monsoon_Percent_Departure,SW_Monsoon_Actual,SW_Monsoon_Percent_Departure,Post_Monsoon_Actual,Post_Monsoon_Percent_Departure,Annual_Actual,Annual_Percent_Departure
9,GODDA,13.7,-52%,75.642,-25%,856.61,4%,113.37,-45%,1087.52,-5%
10,GUMLA,55.106,-31%,103.84,32%,934.17,13%,119.29,-17%,1181.97,3%
11,HAZARIBAG,34.062,-3%,72.865,-5%,967.38,14%,69.637,-50%,1058.48,10%
12,JAMTARA,18.1,27%,81.29,22%,1801.73,52%,113.79,13%,1902.96,-5%
13,KHUNTI,49.74,-44%,83.356,15%,1117.3,-7%,72.22,11%,1263.66,0%
14,KODARMA,38.978,-50%,86.119,-5%,546.31,35%,113.28,14%,580.26,13%
15,LATEHAR,39.746,-1%,51.85,12%,1344.1,22%,35.397,4%,1340.16,17%
16,LOHARDAGA,61.433,-28%,82.89,6%,967.17,18%,3,-90%,846.187,17%
17,PAKUR,19.1,-67%,24.619,-41%,854.88,-45%,113.82,-49%,562.112,-40%
18,PALAMU,33.3,26%,73.733,-33%,874.05,15%,114.82,-17%,956.31,12%
19,RAMGARH,43.768,-52%,124.49,85%,844.32,5%,23.467,59%,1138.63,-20%
20,RANCHI,46.817,-13%,119.86,43%,1186.4,12%,67.18,-10%,1240.23,-11%
21,SAHEBGANJ,5.7533,-70%,139.3,-36%,1653.9,14%,77.157,-59%,1267.13,14%
22,SERAIKELA KHARSAWAN,11.1,-76%,36.66,-70%,957.76,18%,-,-,1036.19,14%
23,SIMDEGA,83.7,-24%,164.97,107%,1379.8,39%,89.33,-65%,1517.17,14%
1,WEST SINGHBHUM,41.583,-60%,63.26,-52%,651.78,17%,1,-97%,1103.37,17%
2,BIHAR,13.403,-20%,41.27,-60%,788.24,-1%,-,-,1194.2,-1%
1,ARARIA,8.5774,-59%,141.59,-54%,1392.6,-5%,27.139,-65%,1471.63,-11%
2,ARWAL,7.445,-11%,318.66,-24%,717.5,25%,15.64,17%,723.31,-11%
3,AURANGABAD,84.83,-59%,51.544,-64%,908.7,-5%,11.95,-78%,953.397,1%
4,BANKA,7.123,-68%,207.64,44%,696.7,-21%,7.4555,-79%,830.35,-21%
5,BEGUSARAI,8.5774,-45%,124.54,-62%,737.3,23%,30.667,-34%,900.877,-23%
6,BHAGALPUR,36.667,-43%,130.53,-73%,718.46,-8%,29.778,-54%,850.533,-25%
7,BHAGALPUR,11.223,-64%,73.339,-56%,666.25,-1%,4.1667,-91%,540.979,-31%
8,BHOJPUR,25.883,-18%,22.844,-68%,852.24,-13%,312.74,-17%,752.859,-41%
9,BUXAR,22.167,-24%,51.217,-71%,648.86,12%,14.837,-70%,563.179,-15%
10,DARBHANGA,18,-90%,108.41,71%,772.66,-17%,15.25,-84%,729.05,-13%
11,EAST CHAMPARAN,4.1,-95%,113.23,25%,878.26,17%,9.13,-89%,993.54,-20%
12,GAYA,20.12,-21%,39.339,-61%,914.58,-41%,17.4,-70%,583.86,-64%
13,GOPALGANJ,5.6429,-37%,38.544,-1%,729.41,20%,1.2,-86%,587.766,-26%
14,JAHANABAD,29.45,-37%,123.15,115%,735.24,-31%,119.7,31%,580.1,-46%
15,JAMUI,25.714,-75%,65.714,-51%,696.85,-3%,26.245,-65%,1033.53,-5%
16,KAIMUR,135,-25%,129.86,-53%,539.96,41%,16.39,-69%,550.22,-28%
17,KATIHAR,5.86,-74%,96.177,-21%,527.21,15%,63.893,-13%,590.842,-16%
18,KHAGARIA,15,-100%,118.77,-48%,818.81,40%,13.83,-77%,597.72,-36%
19,LAKHISARAI,6.186,44%,93.32,-8%,771.63,-24%,31.35,-56%,675.538,-11%
20,MADHEPURA,11.314,-84%,113.32,20%,639.72,-28%,27.017,-64%,614.659,-29%
21,MADHUBANI,9,-100%,113.49,21%,605.62,-38%,8.8333,-89%,729.939,-37%
22,MUNGER,114,-28%,45.339,21%,534.3,-39%,19.237,-78%,642.452,-41%
23,MUZAFFARPUR,4.7778,-77%,113.55,-31%,525.26,-60%,9.7313,-59%,544.187,-43%
24,NALANDA,25.886,-67%,54.544,-29%,582.28,-20%,13.43,-62%,517.518,-11%
25,NAWADA,27.857,-43%,33.5,-54%,694.51,20%,24.714,-54%,1151.19,17%
26,PATNA,57.143,-68%,74.868,-3%,645.86,16%,13.53,-72%,610.01,-40%
27,PURNIA,5.6857,-80%,142.02,-35%,651.57,-33%,46.667,-53%,1176.66,-45%
28,ROHTAS,25.433,-18%,23.139,-60%,776.11,15%,17.829,-30%,732.77,-37%
29,SAHARSA,2.4857,-86%,93.832,-46%,656.72,-11%,12.46,-64%,754.11,-38%
30,SAMASTIPUR,11.714,-44%,126.71,46%,723.26,-13%,15.1,-72%,781.951,-36%
31,SARAN,17.886,-17%,33.214,-65%,624.97,-41%,9.2,-87%,685.67,-49%
32,SHEIKHPURA,12.56,-33%,34.4,-52%,686.27,-44%,12.833,-61%,563.29,-31%
33,SHEOHAR,5.18,-89%,86.747,-1%,756.92,-31%,7.15,-77%,552.567,-31%
34,SITAMARHI,11.1012,-45%,136.11,-35%,724.69,-31%,7.7,-88%,516.29,-31%
35,SIWAN,58.74,-4%,33.943,-52%,811.74,-18%,2.2633,-89%,872.661,-16%
36,SUPAUL,1.1,-54%,117.1,15%,834.5,-40%,29.317,-71%,1111.44,-46%
37,VAISHALI,31.857,-29%,72.957,-24%,646.21,-43%,11.46,-81%,586.398,-50%
38,WEST CHAMPARAN,1.33,-95%,149.53,-5%,1183.3,-44%,13.233,-86%,1142.29,-37%
0,UTTAR PRADESH,19.69,-68%,26.673,-35%,744.57,7%,7.4316,-50%,794.663,-5%
0,EAST UTTAR PRADESH,21.44,-10%,17.525,-58%,746.3,-19%,4.168,-80%,741.648,-22%
1,AMBEDKAR NAGAR,18.35,-1%,1,-88%,597.51,2%,5.86,-54%,522.668,-45%
2,AZAMGARH,19.98,-10%,17.58,1%,333.54,-2%,5.34,-59%,472.66,-49%
3,WEST BENGAL,25.336,-56%,249.42,-5%,1338.5,7%,188.8,19%,1673.35,6%
1,ALIPURDUAR,6.36,-99%,360.29,-12%,2254.3,8%,267.8,-50%,3912.74,5%
2,COOCHBEHAR,0.28,-99%,228.49,-40%,2773.4,-18%,81.04,-8%,3338.66,-9%
3,DARJEELING,1.46,-95%,439.8,-8%,2568.6,-5%,176.31,-7%,3182.18,-7%
4,JALPAIGURI,0.4996,-98%,345.33,-46%,2598.8,-7%,223.44,-18%,2544.11,-10%
5,KALIMPONG,1.2333,-97%,267.99,-35%,2751.5,-18%,237.77,-40%,2737.8,-7%
6,MALDA,10.245,-41%,145.1,-41%,932.02,-21%,62.1,-69%,1149.46,-28%
7,NORTH DINAJPUR,4,-92%,118.3,-62%,1233.9,-17%,44.552,-65%,1481.69,-33%
8,SOUTH DINAJPUR,3.4714,-90%,164.94,-20%,1095.7,-2%,76.143,-51%,1330.27,-16%
9,GANGETIC WEST BENGAL,32.884,-12%,246.08,-32%,1173,-1%,214.46,-23%,1668.21,-7%
1,BANKURA,24.52,-5%,210.23,18%,1346.2,17%,244.2,-46%,1533.19,-20%
2,BIRBHUM,21.638,-12%,159.66,-4%,1044.5,-8%,137.77,-19%,1586.1,-7%
3,EAST MIDNAPORE,36.28,-5%,357.87,74%,1247.3,-3%,227.28,-10%,1586.75,6%
4,HOOGHLY,35.15,18%,298.35,-51%,1118.5,-8%,175.23,-20%,1625.15,-6%
5,HOWRAH,26.65,-42%,367.4,51%,1313.2,11%,263.17,71%,1964.42,-26%
